hours,population
13.0,23405.405405405407
14.0,22972.972972972973
15.0,22324.324324324327
16.0,21027.027027027027
17.0,18594.594594594597
18.0,14162.162162162163
19.0,9783.783783783783
20.0,7027.0270270270275
21.0,5513.513513513513
22.0,4540.540540540541
23.0,4108.108108108108
0.0,4054.054054054054
1.0,3945.9459459459463
2.0,3783.7837837837837
3.0,3837.837837837838
4.0,4000.0
5.0,5189.189189189189
6.0,8648.648648648648
7.0,13351.351351351352
8.0,17297.297297297297
9.0,20054.054054054053
10.0,21513.513513513513
11.0,22108.10810810811
12.0,22054.054054054053
